SYMBOL,logFC,adj.P.Val,,,,,,,,Gene,,CTNNB1 （22 %）TP53 （29 %）LRP1B （28 %）PREX2 （22 %）ERBB4 （20 %）PTPRT （20 %）ZFHX3 （19 %）KMT2C （19 %）ALK （17 %）NTRK3 （17 %）锌f521 （18 %）CAMTA1 （18 %）FHIT （18 %）MAML2 （15 %）狐狸1 （15 %）GPHN （15 %）干旱2 （12 %）SND1 （15 %）LPP （15 %）GRIN2A （14 %）有突变的样本所有样品前20个基因规模（样本）基因
CRKL,-0.905102041,8.23E-08,,,,,,,,,,
MTIF2,-0.75943625,0.00357422,,,,,,,,,,
BAG6,-1.719498889,1.51E-26,,,,,,,,,,
NSF,-1.176278036,8.64E-20,,,,,,,,,,
CDKN1B,-0.20966862,0.458304586,,,,,,,,,,
MAP2K3,-0.402778339,0.038170064,,,,,,,,,,
BRCC3,-1.038108709,1.49E-13,,,,,,,,,,
RPL27A,-0.911628612,2.63E-10,,,,,,,,,,
RPL5,-0.635643564,5.78E-10,,,,,,,,,,
RPL21,-1.201404324,3.21E-06,,,,,,,,,,
RPL28,-0.67387351,1.09E-05,,,,,,,,,,
RPS9,-0.713214791,1.25E-12,,,,,,,,,,
RPS5,-0.55741564,3.08E-07,,,,,,,,,,
RPS10,-0.39463528,0.000851755,,,,,,,,,,
MAP1B,-1.154202869,0.002976524,,,,,,,,,,
GNPDA1,-0.877561123,7.70E-09,,,,,,,,,,
NEDD4,-0.962962215,0.002356491,,,,,,,,,,
YAP1,-0.832107496,0.011807709,,,,,,,,,,
UTRN,-1.330349566,1.06E-13,,,,,,,,,,
IQGAP1,-0.266003233,0.107690627,,,,,,,,,,
HAAO,1.958981612,7.53E-22,,,,,,,,,,
GYG1,-0.245059608,0.16898677,,,,,,,,,,
STT3A,-0.223196605,0.032436346,,,,,,,,,,
RABIF,-0.989058396,2.71E-10,,,,,,,,,,
CAPZA2,-0.620984037,2.24E-11,,,,,,,,,,
CAPZB,-0.554859568,6.12E-07,,,,,,,,,,
ALDH1A3,-0.55238432,0.127655394,,,,,,,,,,
QARS,-0.504192766,2.43E-07,,,,,,,,,,
RPL29,-0.919832289,5.87E-07,,,,,,,,,,
UQCRFS1;UQCRFS1P1,0.366013336,0.028165427,,,,,,,,,,
XDH,2.383713882,7.58E-19,,,,,,,,,,
ATP5O,0.349393817,0.004449466,,,,,,,,,,
LIMS1,0.076944837,0.670814924,,,,,,,,,,
SLC6A12,-0.249727218,0.285580662,,,,,,,,,,
PREP,-0.199302889,0.12950988,,,,,,,,,,
ME1,-0.598242069,0.034107153,,,,,,,,,,
IREB2,0.053313801,0.868151309,,,,,,,,,,
LEPR,-0.694392807,0.087084141,,,,,,,,,,
PIP4K2A,-0.280278844,0.111913127,,,,,,,,,,
ARCN1,-0.811386139,2.41E-15,,,,,,,,,,
LSS,0.662255001,0.000181209,,,,,,,,,,
GCLC,0.349494847,0.004941474,,,,,,,,,,
GCLM,-0.740068701,2.29E-07,,,,,,,,,,
CD151,-1.358092544,5.06E-08,,,,,,,,,,
TRAPPC10,0.943301677,0.024336115,,,,,,,,,,
PSMD8,-0.68162255,5.62E-09,,,,,,,,,,
PRRC2A,0.036583148,0.933399751,,,,,,,,,,
GSS,0.152263083,0.183077072,,,,,,,,,,
CCT5,-0.564811073,6.43E-06,,,,,,,,,,
PTDSS1,-1.004798949,1.45E-07,,,,,,,,,,
NES,-2.94258436,1.38E-24,,,,,,,,,,
HSPA13,-0.992341887,5.27E-06,,,,,,,,,,
AMT,0.935774904,2.01E-07,,,,,,,,,,
CSNK1A1,-1.09188725,3.31E-05,,,,,,,,,,
CSNK1D;CSNK1E,-0.973822995,0.000609901,,,,,,,,,,
IDH2,0.359941402,0.000402911,,,,,,,,,,
PITPNB,-0.147534856,0.222940284,,,,,,,,,,
MASP1,-0.642372196,0.039957317,,,,,,,,,,
TDO2,-1.414831279,1.02E-06,,,,,,,,,,
CD97,-1.207607597,6.31E-05,,,,,,,,,,
POLD2,0.616114367,0.07228735,,,,,,,,,,
MARCKSL1,-0.293493635,0.158280307,,,,,,,,,,
PXN,-0.610183876,0.000495695,,,,,,,,,,
MAPKAPK2,-0.95284906,0.00024842,,,,,,,,,,
ALDH9A1,0.794675692,7.53E-13,,,,,,,,,,
RPL34,-0.539907052,0.000734336,,,,,,,,,,
RPIA,0.142988483,0.568531616,,,,,,,,,,
LMAN1,0.237057992,0.015216531,,,,,,,,,,
NASP,-1.837916751,1.29E-21,,,,,,,,,,
FMO5,1.200222267,7.57E-08,,,,,,,,,,
FASN,0.139300869,0.424519011,,,,,,,,,,
FNTA,-0.451838755,0.001010821,,,,,,,,,,
FNTB,-0.756496262,0.000127032,,,,,,,,,,
DHPS,-0.038088503,0.920087026,,,,,,,,,,
CCT3,-0.797080218,1.96E-15,,,,,,,,,,
MRPL19,-1.949181653,9.23E-21,,,,,,,,,,
ARRB1,0.156405334,0.464264719,,,,,,,,,,
TUFM,-0.324631239,0.014152678,,,,,,,,,,
ALDH7A1,0.758920994,2.47E-08,,,,,,,,,,
INPP1,-0.077763184,0.665532619,,,,,,,,,,
GLUD2,-1.044352394,9.30E-06,,,,,,,,,,
CENPF,0.547656092,0.300416686,,,,,,,,,,
SRP9,-1.744160436,1.28E-18,,,,,,,,,,
PCYT1A,-1.413447161,1.61E-13,,,,,,,,,,
AARS,-0.271145686,0.009971157,,,,,,,,,,
CARS,-0.324489796,0.010940247,,,,,,,,,,
HARS2,-1.722944029,1.18E-11,,,,,,,,,,
SARS,-0.496009295,1.01E-06,,,,,,,,,,
PPM1F,-1.102212568,2.07E-11,,,,,,,,,,
TTPA,1.22301475,6.94E-10,,,,,,,,,,
CASP4,-0.538048091,0.06441449,,,,,,,,,,
CTCF,-0.541695292,0.1000327,,,,,,,,,,
PSMB3,-0.164214993,0.127038018,,,,,,,,,,
PSMB2,0.093059204,0.439618342,,,,,,,,,,
MCM2,-1.997524752,3.06E-07,,,,,,,,,,
ACADVL,0.750585977,5.17E-11,,,,,,,,,,
YLPM1,-2.081895332,1.16E-18,,,,,,,,,,
VPS41,0.758991715,0.028576289,,,,,,,,,,
TMED10,-0.319923217,0.003196747,,,,,,,,,,
RBM25,-0.625722368,4.96E-05,,,,,,,,,,
NUMB,-0.744574662,2.64E-05,,,,,,,,,,
PSEN1,-0.057365124,0.867281709,,,,,,,,,,
EIF2B2,-0.891725601,1.44E-10,,,,,,,,,,
HINT1,-0.090523338,0.465623227,,,,,,,,,,
FHIT,-1.123358254,5.85E-10,,,,,,,,,,
NUP153,-1.594392807,3.20E-10,,,,,,,,,,
RANBP2,-2.179288745,1.61E-21,,,,,,,,,,
RGS19,0.869256415,8.91E-05,,,,,,,,,,
TSC2,0.754849465,0.056150495,,,,,,,,,,
NDUFV1,0.915589008,2.26E-13,,,,,,,,,,
GSK3A,-1.20380885,1.33E-06,,,,,,,,,,
GSK3B,-1.095716306,3.92E-06,,,,,,,,,,
SULT1E1,1.914023035,1.93E-11,,,,,,,,,,
DIO1,-0.891068903,2.86E-05,,,,,,,,,,
NT5C2,-1.719236209,1.73E-14,,,,,,,,,,
SEPHS1,-1.071923621,5.75E-14,,,,,,,,,,
SEPP1,-0.34463528,0.189392035,,,,,,,,,,
CAMP,-0.722923823,0.008218064,,,,,,,,,,
MTHFS,0.568619923,0.000361119,,,,,,,,,,
GMPS,-2.443513841,1.09E-34,,,,,,,,,,
LIG3,0.284168519,0.451597993,,,,,,,,,,
MRE11A,-2.170741564,4.91E-20,,,,,,,,,,
ENTPD1,-1.269650434,9.86E-07,,,,,,,,,,
KHK,1.394079612,1.28E-09,,,,,,,,,,
HNMT,0.370852698,0.006650322,,,,,,,,,,
GNAQ,-0.286360881,0.050583911,,,,,,,,,,
GNG10,-0.887866236,1.81E-05,,,,,,,,,,
IDH3A,-0.827035765,3.08E-10,,,,,,,,,,
SULT1A1,2.013538089,5.33E-23,,,,,,,,,,
SULT1A2,1.253879572,1.47E-10,,,,,,,,,,
PPOX,-1.457526773,3.97E-12,,,,,,,,,,
GDI2,-0.240876945,0.007582567,,,,,,,,,,
EMD,-0.974146292,2.19E-07,,,,,,,,,,
CPT1A,-0.207102445,0.181674951,,,,,,,,,,
GATM,0.698777531,4.66E-06,,,,,,,,,,
SERPINB9,-0.411103253,0.090971029,,,,,,,,,,
SERPINH1,-1.932390382,2.56E-21,,,,,,,,,,
ST13;ST13P4;ST13P5,-0.470731461,4.21E-06,,,,,,,,,,
PEX5,-0.561173975,0.001247132,,,,,,,,,,
VASP,-0.936805415,1.19E-08,,,,,,,,,,
DNM2,-0.918619923,1.38E-13,,,,,,,,,,
METAP2,-0.808122853,1.55E-11,,,,,,,,,,
NUDT2,-0.780682966,6.67E-05,,,,,,,,,,
CDK7,-0.414912103,0.113797152,,,,,,,,,,
HLCS,-0.039876743,0.923977641,,,,,,,,,,
KNTC1,2.320771873,8.89E-15,,,,,,,,,,
CDK9,-1.329288745,2.43E-11,,,,,,,,,,
LRBA,-0.826803395,3.30E-08,,,,,,,,,,
BCAM,-2.035956759,8.27E-17,,,,,,,,,,
PPT1,0.087401495,0.628879699,,,,,,,,,,
RPL14,-0.845504142,5.64E-12,,,,,,,,,,
CCT8,-0.618983633,9.00E-10,,,,,,,,,,
CCT4,-0.662063043,7.24E-10,,,,,,,,,,
ANXA11,-0.945857749,3.92E-11,,,,,,,,,,
PAPOLA,-1.682895534,3.90E-11,,,,,,,,,,
FXR1,-2.169317034,8.06E-28,,,,,,,,,,
FXR2,-0.771266923,0.008163682,,,,,,,,,,
RAB5C,-0.604809052,8.85E-09,,,,,,,,,,
RAB7A,-0.56897353,4.54E-09,,,,,,,,,,
RAB9A,-0.403536068,0.024554143,,,,,,,,,,
RAB13,-1.186593251,1.58E-12,,,,,,,,,,
RAB27A,-0.834158416,3.73E-05,,,,,,,,,,
PLCD1,0.44582744,0.043852912,,,,,,,,,,
DAP,-0.25526369,0.312173312,,,,,,,,,,
DAP3,0.854122045,2.15E-07,,,,,,,,,,
DUSP3,-0.16049707,0.202266004,,,,,,,,,,
SMARCA2,0.246433623,0.459859373,,,,,,,,,,
SMARCA4,-1.659315013,2.78E-07,,,,,,,,,,
IDH3G,-1.044574662,6.00E-12,,,,,,,,,,
GALK1,0.229409982,0.159812058,,,,,,,,,,
SSR4,-0.632784401,8.33E-06,,,,,,,,,,
BCAP31,-0.907425743,1.60E-12,,,,,,,,,,
TPMT,0.60678925,1.10E-05,,,,,,,,,,
CYP2J2,1.16099212,5.45E-08,,,,,,,,,,
RENBP,-0.354415033,0.148369155,,,,,,,,,,
MECP2,-0.012507577,0.961963321,,,,,,,,,,
HCFC1,-2.095190948,3.59E-30,,,,,,,,,,
ALDH3A2,0.654152354,1.41E-06,,,,,,,,,,
ALDH5A1,0.843695696,3.16E-08,,,,,,,,,,
HSD17B4,0.067771267,0.609169202,,,,,,,,,,
PSMD7,-0.592028693,6.38E-09,,,,,,,,,,
SUOX,1.91466963,1.79E-22,,,,,,,,,,
ARSD,1.285168721,2.60E-06,,,,,,,,,,
ARSE,1.048100626,1.93E-07,,,,,,,,,,
STAT5B,-0.791695292,2.24E-05,,,,,,,,,,
CLCN7,0.921206304,0.005121536,,,,,,,,,,
DYNLT3,-1.583067286,2.65E-15,,,,,,,,,,
VAMP7,-1.5764902,5.54E-15,,,,,,,,,,
RPS6KA3,-2.106637705,1.06E-18,,,,,,,,,,
AKR1D1,1.438947262,2.08E-15,,,,,,,,,,
HDGF,-0.915376844,1.47E-19,,,,,,,,,,
LUM,0.792887452,0.00187953,,,,,,,,,,
PRELP,1.231541726,0.000480733,,,,,,,,,,
CNN1,-1.036744797,0.000409173,,,,,,,,,,
UBE2E1,0.087916751,0.663587396,,,,,,,,,,
NDUFA8,0.814750455,1.95E-07,,,,,,,,,,
HNRNPA3,-1.220286927,1.82E-16,,,,,,,,,,
PGD,-0.197171146,0.083692083,,,,,,,,,,
HNRNPM,-1.642826834,3.42E-17,,,,,,,,,,
KPNA2,0.105789048,0.703985038,,,,,,,,,,
KPNA1,-0.509133158,0.000337203,,,,,,,,,,
RAP1GDS1,-0.362810669,0.033970233,,,,,,,,,,
POLR2H,-1.161962013,1.47E-07,,,,,,,,,,
MAP2K6,-0.651495252,0.0115765,,,,,,,,,,
ARHGDIA,-0.474449384,0.001222953,,,,,,,,,,
ARHGDIB,-0.20023237,0.239807091,,,,,,,,,,
SLC7A2,-0.580733482,0.047265237,,,,,,,,,,
AGFG1,-0.992564154,1.02E-05,,,,,,,,,,
HNRNPF,-1.033612851,6.48E-15,,,,,,,,,,
STAT2,-1.155819357,1.24E-08,,,,,,,,,,
GTF2A1,-0.544059406,0.003003512,,,,,,,,,,
MSH6,-1.893564356,1.13E-06,,,,,,,,,,
VAV2,-0.011355829,0.94952091,,,,,,,,,,
RBM5,0.961446757,0.003831488,,,,,,,,,,
CHN2,-0.85357648,0.000815901,,,,,,,,,,
HRSP12,2.017680339,1.06E-22,,,,,,,,,,
SMS,-0.666700344,2.90E-05,,,,,,,,,,
HK3,1.519084664,4.39E-09,,,,,,,,,,
MRPL12,-1.965306122,3.09E-24,,,,,,,,,,
THOP1,-0.011547787,0.944067058,,,,,,,,,,
AKR1C2,0.75036371,0.00392365,,,,,,,,,,
CAPZA1,-0.558082441,3.44E-06,,,,,,,,,,
CRIP2,-0.37493433,0.061705794,,,,,,,,,,
NUP98,-2.060608204,4.93E-16,,,,,,,,,,
BLVRA,-1.169650434,2.58E-07,,,,,,,,,,
SLC25A1,0.305799151,0.02745574,,,,,,,,,,
PPP5C,-0.551515458,2.00E-06,,,,,,,,,,
ARFIP2,-0.383976561,0.183287224,,,,,,,,,,
ARFIP1,-1.320549606,1.01E-12,,,,,,,,,,
NUDT6,1.325085876,3.53E-09,,,,,,,,,,
NUBP1,-0.481268943,0.010311697,,,,,,,,,,
ACLY,-1.671236613,2.72E-20,,,,,,,,,,
METAP1,-0.473317842,0.003005317,,,,,,,,,,
SUCLG1,0.416488179,0.000280101,,,,,,,,,,
MVD,0.695019196,0.000157699,,,,,,,,,,
PGGT1B,0.20168721,0.363684368,,,,,,,,,,
RABGGTB,-0.57840978,0.001346528,,,,,,,,,,
COPB1,-0.850949687,1.79E-16,,,,,,,,,,
COPA,-0.828864417,7.41E-17,,,,,,,,,,
CTSC,-0.128793696,0.573192566,,,,,,,,,,
CLTCL1,-0.112750051,0.843170623,,,,,,,,,,
AP2S1,-0.452010507,0.000735449,,,,,,,,,,
HCCS,-0.957122651,2.26E-08,,,,,,,,,,
PTTG1IP,-0.30106082,0.086218215,,,,,,,,,,
SLC16A1,-0.101697313,0.617483199,,,,,,,,,,
IST1,-0.555799151,2.35E-05,,,,,,,,,,
SEC24C,-0.758021823,3.01E-12,,,,,,,,,,
SUB1,-1.797524752,3.18E-24,,,,,,,,,,
CLNS1A,-1.356657911,1.14E-07,,,,,,,,,,
RARS,-0.642493433,2.66E-11,,,,,,,,,,
ATXN3,-0.434340271,0.114674623,,,,,,,,,,
CACNA2D1,-0.54023035,0.079227836,,,,,,,,,,
YARS,-0.580450596,4.34E-06,,,,,,,,,,
USP14,-1.278349161,8.42E-28,,,,,,,,,,
PRKAG1,0.362901596,0.010186033,,,,,,,,,,
PRKAA2,-0.887189331,0.010611184,,,,,,,,,,
HSPA2,-1.555142453,5.27E-08,,,,,,,,,,
ATP12A,-0.542099414,0.014976968,,,,,,,,,,
ATP1B3,-1.899737321,1.34E-11,,,,,,,,,,
RAD23A,-0.415215195,0.041090239,,,,,,,,,,
RAD23B,-0.311275005,0.003831488,,,,,,,,,,
EPHB4,-0.872994544,0.01225281,,,,,,,,,,
NAGLU,-0.535946656,0.004670965,,,,,,,,,,
AK2,0.425803193,0.000105569,,,,,,,,,,
GYS2,3.468256213,5.41E-30,,,,,,,,,,
UGT2B15,1.927500505,1.06E-13,,,,,,,,,,
HMGCS2,1.010668822,2.05E-06,,,,,,,,,,
ALDH18A1,-1.897322691,3.66E-19,,,,,,,,,,
NAPA,-0.392048899,5.12E-05,,,,,,,,,,
AIF1,-0.131582138,0.559871183,,,,,,,,,,
EIF5,-0.802182259,1.79E-12,,,,,,,,,,
SLC12A2,-0.218943221,0.597493325,,,,,,,,,,
PSMD4,-0.60990099,4.00E-10,,,,,,,,,,
DRG2,-1.307183269,5.94E-14,,,,,,,,,,
APOC4,-0.839361487,1.66E-05,,,,,,,,,,
CSE1L,-1.12361083,7.99E-18,,,,,,,,,,
TMBIM6,0.75284906,2.12E-05,,,,,,,,,,
VCP,-0.469690847,1.30E-07,,,,,,,,,,
MFAP1,0.067730855,0.806733282,,,,,,,,,,
MFAP4,0.394908062,0.135429304,,,,,,,,,,
HADHB,0.254606991,0.027220481,,,,,,,,,,
INHBC,-1.041250758,4.49E-05,,,,,,,,,,
MANF,-0.989886846,2.95E-10,,,,,,,,,,
MTTP,1.686896343,2.93E-13,,,,,,,,,,
NCKAP1L,-1.163305718,6.27E-05,,,,,,,,,,
MLLT4,-0.886926652,1.16E-09,,,,,,,,,,
NAP1L1,-1.983158214,6.32E-28,,,,,,,,,,
CASP7,-0.725156597,0.000401849,,,,,,,,,,
CASP9,0.154647404,0.621623996,,,,,,,,,,
CASP6,-0.416245706,0.051056278,,,,,,,,,,
ADK,1.348151142,1.42E-20,,,,,,,,,,
ADAR,-1.943463326,5.73E-28,,,,,,,,,,
LAMB2,-1.316932714,1.05E-06,,,,,,,,,,
CDH13,-1.308274399,1.20E-06,,,,,,,,,,
TPD52,-1.311416448,1.07E-16,,,,,,,,,,
SEC13,-0.539775712,2.81E-07,,,,,,,,,,
NHP2L1,-0.945625379,5.39E-07,,,,,,,,,,
NPEPPS,-0.575924429,2.59E-06,,,,,,,,,,
GFER,-0.088977571,0.671348349,,,,,,,,,,
HNRNPH2,-1.378722974,2.76E-17,,,,,,,,,,
OXCT1,-0.701909477,0.006445615,,,,,,,,,,
EIF3B,-1.061113356,2.40E-21,,,,,,,,,,
FCGRT,0.230359669,0.088835659,,,,,,,,,,
BID,-0.642533845,7.06E-05,,,,,,,,,,
ATP5J2,0.316882198,0.010892514,,,,,,,,,,
MARS,-1.053253182,4.04E-15,,,,,,,,,,
ITGA1,0.454243281,0.000398779,,,,,,,,,,
MAZ,0.502081229,0.224140755,,,,,,,,,,
AP1S2,-0.15284906,0.581743579,,,,,,,,,,
MP68,0.38413821,0.069327732,,,,,,,,,,
ATP5I,-0.146544757,0.495002115,,,,,,,,,,
LGALS4,-0.531652859,0.082089952,,,,,,,,,,
EIF6,-0.606253789,6.24E-09,,,,,,,,,,
NDUFA6,0.757627804,1.10E-05,,,,,,,,,,
PEX3,-0.587906648,0.001683476,,,,,,,,,,
HSD17B7,-0.055738533,0.796610457,,,,,,,,,,
STX17,-0.725570822,0.000865479,,,,,,,,,,
TMEM33,-1.022257022,1.12E-11,,,,,,,,,,
SYNJ2BP,0.360476864,0.030537188,,,,,,,,,,
PCBP3,-0.631945848,0.000651069,,,,,,,,,,
CORO7,-0.807466155,6.27E-05,,,,,,,,,,
NUP107,-1.852444938,1.69E-15,,,,,,,,,,
GSDMD,-1.136108305,5.99E-12,,,,,,,,,,
EEFSEC,-0.256971105,0.079419699,,,,,,,,,,
EPPK1,-0.295483936,0.541011388,,,,,,,,,,
ANTXR2,-1.252263083,0.000193064,,,,,,,,,,
MTPN,-0.145271772,0.330756282,,,,,,,,,,
DEFA3;DEFA1,0.864265508,0.002065874,,,,,,,,,,
GNG2,0.422347949,0.035044327,,,,,,,,,,
ARPC4,-0.631329562,6.32E-07,,,,,,,,,,
CD81,1.038199636,4.04E-11,,,,,,,,,,
SEC61G,-0.306223479,0.014352032,,,,,,,,,,
TPI1,0.032956153,0.722145793,,,,,,,,,,
EIF3E,-1.016619519,2.71E-19,,,,,,,,,,
SEC61B,-0.306142655,0.003298641,,,,,,,,,,
PTEN,-0.507062033,0.05338321,,,,,,,,,,
PPP4C,-1.900848656,5.37E-23,,,,,,,,,,
ROMO1,-0.80334411,6.03E-06,,,,,,,,,,
UBE2G2,-0.842897555,3.28E-05,,,,,,,,,,
MYL6,-0.466771065,4.32E-05,,,,,,,,,,
ACTB,0.042665185,0.866033351,,,,,,,,,,
EIF4A1,-0.65526369,2.39E-10,,,,,,,,,,
RPS20,-0.682693473,3.81E-05,,,,,,,,,,
PRPS1,0.074651445,0.559096895,,,,,,,,,,
PSMA6,-0.023792685,0.840427959,,,,,,,,,,
S100A10,-1.854495858,2.40E-21,,,,,,,,,,
CDC42,-0.473671449,8.01E-07,,,,,,,,,,
DSTN,-0.633188523,1.01E-05,,,,,,,,,,
GMFB,-0.907839968,3.83E-09,,,,,,,,,,
RAB8A,-0.211790261,0.077202002,,,,,,,,,,
SPCS3,-0.259466559,0.193102422,,,,,,,,,,
SRP54,-0.780177814,2.72E-09,,,,,,,,,,
RAB4B,-0.250373813,0.293717264,,,,,,,,,,
RAB2A,-0.738846232,1.28E-11,,,,,,,,,,
RAB5B,-0.366053748,0.003174592,,,,,,,,,,
RAB10,-0.79523136,1.92E-10,,,,,,,,,,
UBE2D3;UBE2D2,-0.450242473,0.000865157,,,,,,,,,,
UBE2M,-1.340260659,7.61E-17,,,,,,,,,,
UBE2K,-0.568215801,1.35E-05,,,,,,,,,,
UBE2N;UBE2NL,-0.582370176,2.17E-07,,,,,,,,,,
RAB14,-0.225308143,0.025624617,,,,,,,,,,
ACTR3,-0.589240251,8.27E-08,,,,,,,,,,
ACTR2,-0.570953728,6.24E-07,,,,,,,,,,
ACTR1A,-0.524267529,4.13E-05,,,,,,,,,,
TMEM258,-0.426581128,0.001458922,,,,,,,,,,
COPS2,-0.987381289,2.85E-14,,,,,,,,,,
ABCE1,-0.550474843,1.00E-06,,,,,,,,,,
RAP1B,-0.03639119,0.753932721,,,,,,,,,,
RAP2B,-0.839715094,1.33E-07,,,,,,,,,,
RPS3A,-0.638644171,1.09E-10,,,,,,,,,,
RPL26,-0.423994746,0.034432275,,,,,,,,,,
PSME3,-2.636876137,4.35E-36,,,,,,,,,,
RPL15,-0.521155789,3.86E-05,,,,,,,,,,
MAGOH,-1.493099616,4.97E-22,,,,,,,,,,
RPL27,-0.812901596,4.29E-06,,,,,,,,,,
ATP6V0D1,-1.108042029,4.98E-12,,,,,,,,,,
PCBD1,0.592301475,1.90E-06,,,,,,,,,,
RPL37A,-0.643140028,0.000311026,,,,,,,,,,
RHOA,-0.666164882,2.42E-11,,,,,,,,,,
NCALD,-0.151151748,0.39919895,,,,,,,,,,
HSPE1,-0.375863811,0.004096986,,,,,,,,,,
SEC61A1,-0.12635886,0.285453074,,,,,,,,,,
LYZ,0.183612851,0.50835343,,,,,,,,,,
VBP1,-1.63364316,3.89E-17,,,,,,,,,,
STXBP1,-0.44715094,0.19663027,,,,,,,,,,
B2M,-0.25549606,0.145295155,,,,,,,,,,
DAD1,-0.412840978,0.0002606,,,,,,,,,,
NPC2,0.065043443,0.709574936,,,,,,,,,,
COPZ1,-0.889442312,2.99E-13,,,,,,,,,,
SUMO2;SUMO4;SUMO3,-0.712659123,0.000318198,,,,,,,,,,
UFM1,0.014770661,0.93432004,,,,,,,,,,
DCAF7,-0.629773692,0.005927141,,,,,,,,,,
WDR5,-1.77135785,2.63E-18,,,,,,,,,,
AP1S1,-0.474712063,0.000699554,,,,,,,,,,
NUTF2,-0.122873308,0.443368629,,,,,,,,,,
HNRNPK,-1.077359062,1.10E-23,,,,,,,,,,
YWHAG,-0.548272378,7.94E-09,,,,,,,,,,
RRAS2,-0.012598505,0.950900493,,,,,,,,,,
TIMM10,-0.276318448,0.14931791,,,,,,,,,,
RPS7,-0.7470196,1.92E-05,,,,,,,,,,
PPP1CA,-0.852475248,1.67E-15,,,,,,,,,,
PPP1CB,-0.881299252,5.00E-14,,,,,,,,,,
CALM1,-0.004586785,0.970433995,,,,,,,,,,
PSMC1,-0.527934936,1.37E-07,,,,,,,,,,
PSMC5,-0.535835522,6.35E-08,,,,,,,,,,
RPS8,-0.745574864,9.53E-12,,,,,,,,,,
RPS15A,-0.61897353,5.94E-10,,,,,,,,,,
RPS16,-0.815386947,2.78E-12,,,,,,,,,,
UBE2G1,-0.60178824,0.001105022,,,,,,,,,,
UBE2H,-1.077884421,1.23E-13,,,,,,,,,,
YWHAE,-0.250171752,0.013346617,,,,,,,,,,
RPS14,-0.692968276,1.91E-09,,,,,,,,,,
RPS23,-0.681198222,5.03E-06,,,,,,,,,,
RPS18,-0.64175591,5.70E-08,,,,,,,,,,
RPS29,-0.595776925,0.012608661,,,,,,,,,,
RPS13,-0.656041625,3.64E-08,,,,,,,,,,
RPS11,-0.921307335,1.21E-11,,,,,,,,,,
SNRPE,-1.443887654,1.18E-18,,,,,,,,,,
SNRPF,-0.849737321,1.93E-05,,,,,,,,,,
LSM3,-1.229086684,1.03E-08,,,,,,,,,,
LSM6,-1.057304506,8.92E-09,,,,,,,,,,
SNRPD1,-1.287643968,9.97E-12,,,,,,,,,,
SNRPD2,-1.268559305,3.59E-15,,,,,,,,,,
SNRPD3,-1.292180238,3.09E-16,,,,,,,,,,
TMSB4X,-0.265679935,0.290374784,,,,,,,,,,
ARF6,0.410567791,0.001005354,,,,,,,,,,
PSMC6,-0.461790261,1.92E-06,,,,,,,,,,
SELT,-0.020468782,0.932326582,,,,,,,,,,
RPL7A,-0.833319863,2.17E-09,,,,,,,,,,
POLR2G,-0.198817943,0.433181549,,,,,,,,,,
RAB11A,-0.031481107,0.90027972,,,,,,,,,,
ETF1,-1.377854112,4.46E-26,,,,,,,,,,
CNBP,-0.342695494,0.107421544,,,,,,,,,,
RPS4X,-0.707577288,2.32E-11,,,,,,,,,,
PPP2CB,-0.418811881,0.005655288,,,,,,,,,,
RHOB,-0.035502122,0.843446705,,,,,,,,,,
RPL23A,-0.835673874,2.07E-10,,,,,,,,,,
RPS6,-0.762204486,1.43E-10,,,,,,,,,,
VSNL1,0.146049707,0.476628485,,,,,,,,,,
HIST1H4A,0.007223682,0.984879633,,,,,,,,,,
HIST1H2BC;HIST1H2BM;HIST1H2BN;HIST1H2BH;HIST2H2BF;HIST1H2BK;H2BFS,-0.335845625,0.146587683,,,,,,,,,,
RAB1A,-1.07731865,1.06E-14,,,,,,,,,,
RAN,-0.927015559,2.72E-18,,,,,,,,,,
RPL23,-1.143150131,1.24E-08,,,,,,,,,,
RAP1A,0.175025258,0.217691738,,,,,,,,,,
RPS15,-0.551778137,0.001290187,,,,,,,,,,
RPS24,-0.7013235,3.29E-07,,,,,,,,,,
RPS25,-0.762305516,5.53E-09,,,,,,,,,,
RPS26;RPS26P11,-0.764699939,2.62E-06,,,,,,,,,,
RPS28,-0.303546171,0.111913127,,,,,,,,,,
FAU,-0.703323904,0.018669334,,,,,,,,,,
GNB1,-0.452465144,5.28E-05,,,,,,,,,,
RBX1,-1.083158214,1.81E-06,,,,,,,,,,
GNB2,-0.247171146,0.01548178,,,,,,,,,,
RPL30,-0.756910487,3.49E-11,,,,,,,,,,
RPL39P5;RPL39,-0.887633865,0.002224492,,,,,,,,,,
RPL31,-0.777712669,8.90E-05,,,,,,,,,,
RPL10A,-0.724085674,5.28E-12,,,,,,,,,,
RPL32,-0.775985047,1.69E-07,,,,,,,,,,
RPL11,-0.551606385,5.76E-08,,,,,,,,,,
RPL8,-0.980470802,1.20E-07,,,,,,,,,,
PPIA,-0.599302889,1.20E-09,,,,,,,,,,
FKBP1A,-1.146140634,3.78E-08,,,,,,,,,,
RPS27A;UBB;UBC,-0.468185492,1.52E-05,,,,,,,,,,
UBA52,-0.504111942,0.099952318,,,,,,,,,,
GRB2,-0.938755304,2.61E-08,,,,,,,,,,
TRA2B,-1.155344514,3.31E-11,,,,,,,,,,
RAC1,-0.429308951,5.44E-05,,,,,,,,,,
